ha ha ha it was so funny,0,,
I will have a cheese cake,0,,
Lets rape the highschool student,1,,
Why are you feeling bad,0,,
We should abuse her,1,,
we should catch her in the bus stop,1,,
he got a raise,0,,
family is all I have,0,,
he can pitch really well,0,,
I love to the stars and back,0,, 
Window resize changes the default settings,0,,
Clicking the button yields an exception,0,,
Button clicks cause exceptions,0,,
When I click the button an error occurs,0,,
Button listener not found for on click event,0,,
File save option greyed out after edits,0,,
Font size cannot be changed after save,0,,
Dialog window will not close after update,0,,
Cursor disappears when selecting multiple options,0,,
Cannot regain focus after clicking outside window,0,,
We can attack when she gets off in the bus stop,0,,